model,protocol,protocol_label,split,dataset,subject_id,seq,window_idx,gt_bpm,model_bpm,chrom_bpm,model_err,chrom_err,abs_model_err,abs_chrom_err,error_bin,harmonic_type,error_direction,pred_gt_ratio,is_model_better,model_pearson,chrom_pearson,fs,start_time,end_time,start_idx,end_idx,model_minus_chrom,model_better,path,resolved_path,eval_failure_type
Step4_SE_StratA_asymCE-AUX,old,Old@1BPM,train,PURE,01,01-01,0,69.97760716570784,68.97792706334057,68.97792706334057,0.9996801023672646,0.9996801023672646,0.9996801023672646,0.9996801023672646,1-bin (<=1),none,OK,0.9857,False,0.7914840745151734,0.7069648039896603,29.99040307101764,0.0,7.966685000000001,0,240,0.0,False,Dataset/3_ROI/PURE_RAW/01-01.npz,/media/data/rPPG/Code/GitHub/Project_rPPG/Dataset/3_ROI/PURE_RAW/01-01.npz,correct
Step4_SE_StratA_asymCE-AUX,old,Old@1BPM,train,PURE,01,01-01,1,66.97856685860606,66.97856685860606,66.97856685860606,0.0,0.0,0.0,0.0,1-bin (<=1),none,OK,1.0,False,0.7864382885236333,0.6887736270763054,29.99040307101764,1.000027,8.966681000000001,30,270,0.0,False,Dataset/3_ROI/PURE_RAW/01-01.npz,/media/data/rPPG/Code/GitHub/Project_rPPG/Dataset/3_ROI/PURE_RAW/01-01.npz,correct
Step4_SE_StratA_asymCE-AUX,old,Old@1BPM,train,PURE,01,01-01,2,64.97920665387156,64.97920665387156,63.9795265515043,0.0,0.9996801023672576,0.0,0.9996801023672576,1-bin (<=1),none,OK,1.0,True,0.784152976308474,0.6925870275718816,29.99040307101764,2.000023,9.966676,60,300,-0.9996801023672576,True,Dataset/3_ROI/PURE_RAW/01-01.npz,/media/data/rPPG/Code/GitHub/Project_rPPG/Dataset/3_ROI/PURE_RAW/01-01.npz,correct
Step4_SE_StratA_asymCE-AUX,old,Old@1BPM,train,PURE,01,01-01,3,63.9795265515043,62.97984644913705,62.97984644913705,0.9996801023672504,0.9996801023672504,0.9996801023672504,0.9996801023672504,1-bin (<=1),none,OK,0.9844,False,0.768567787768684,0.6698690828654867,29.99040307101764,3.000019,10.966672,90,330,0.0,False,Dataset/3_ROI/PURE_RAW/01-01.npz,/media/data/rPPG/Code/GitHub/Project_rPPG/Dataset/3_ROI/PURE_RAW/01-01.npz,correct
Step4_SE_StratA_asymCE-AUX,old,Old@1BPM,train,PURE,01,01-01,4,63.9795265515043,62.97984644913705,62.97984644913705,0.9996801023672504,0.9996801023672504,0.9996801023672504,0.9996801023672504,1-bin (<=1),none,OK,0.9844,False,0.7921184010239068,0.6683215301301912,29.99040307101764,4.000015,11.966668,120,360,0.0,False,Dataset/3_ROI/PURE_RAW/01-01.npz,/media/data/rPPG/Code/GitHub/Project_rPPG/Dataset/3_ROI/PURE_RAW/01-01.npz,correct
Step4_SE_StratA_asymCE-AUX,old,Old@1BPM,train,PURE,01,01-01,5,63.9795265515043,63.9795265515043,63.9795265515043,0.0,0.0,0.0,0.0,1-bin (<=1),none,OK,1.0,False,0.8409943903576782,0.7429720428073753,29.99040307101764,5.000011000000001,12.966695,150,390,0.0,False,Dataset/3_ROI/PURE_RAW/01-01.npz,/media/data/rPPG/Code/GitHub/Project_rPPG/Dataset/3_ROI/PURE_RAW/01-01.npz,correct
Step4_SE_StratA_asymCE-AUX,old,Old@1BPM,train,PURE,01,01-01,6,64.97920665387156,63.9795265515043,64.97920665387156,0.9996801023672576,0.0,0.9996801023672576,0.0,1-bin (<=1),none,OK,0.9846,False,0.8218016639887624,0.7211261952360173,29.99040307101764,6.000007,13.966691,180,420,0.9996801023672576,False,Dataset/3_ROI/PURE_RAW/01-01.npz,/media/data/rPPG/Code/GitHub/Project_rPPG/Dataset/3_ROI/PURE_RAW/01-01.npz,correct
Step4_SE_StratA_asymCE-AUX,old,Old@1BPM,train,PURE,01,01-01,7,64.97920665387156,64.97920665387156,64.97920665387156,0.0,0.0,0.0,0.0,1-bin (<=1),none,OK,1.0,False,0.8118079789954831,0.7002151380357178,29.99040307101764,7.000003,14.966687,210,450,0.0,False,Dataset/3_ROI/PURE_RAW/01-01.npz,/media/data/rPPG/Code/GitHub/Project_rPPG/Dataset/3_ROI/PURE_RAW/01-01.npz,correct
Step4_SE_StratA_asymCE-AUX,old,Old@1BPM,train,PURE,01,01-01,8,65.97888675623881,65.97888675623881,65.97888675623881,0.0,0.0,0.0,0.0,1-bin (<=1),none,OK,1.0,False,0.8269119115182628,0.7055028910303652,29.99040307101764,8.000029,15.966683000000002,240,480,0.0,False,Dataset/3_ROI/PURE_RAW/01-01.npz,/media/data/rPPG/Code/GitHub/Project_rPPG/Dataset/3_ROI/PURE_RAW/01-01.npz,correct
Step4_SE_StratA_asymCE-AUX,old,Old@1BPM,train,PURE,01,01-01,9,66.97856685860606,66.97856685860606,66.97856685860606,0.0,0.0,0.0,0.0,1-bin (<=1),none,OK,1.0,False,0.8224166384190315,0.7024131860837988,29.99040307101764,9.000025,16.966679000000003,270,510,0.0,False,Dataset/3_ROI/PURE_RAW/01-01.npz,/media/data/rPPG/Code/GitHub/Project_rPPG/Dataset/3_ROI/PURE_RAW/01-01.npz,correct
Step4_SE_StratA_asymCE-AUX,old,Old@1BPM,train,PURE,01,01-01,10,66.97856685860606,66.97856685860606,65.97888675623881,0.0,0.9996801023672504,0.0,0.9996801023672504,1-bin (<=1),none,OK,1.0,True,0.8223439787979175,0.7098725812980539,29.99040307101764,10.000021,17.966675000000002,300,540,-0.9996801023672504,True,Dataset/3_ROI/PURE_RAW/01-01.npz,/media/data/rPPG/Code/GitHub/Project_rPPG/Dataset/3_ROI/PURE_RAW/01-01.npz,correct
Step4_SE_StratA_asymCE-AUX,old,Old@1BPM,train,PURE,01,01-01,11,65.97888675623881,64.97920665387156,64.97920665387156,0.9996801023672504,0.9996801023672504,0.9996801023672504,0.9996801023672504,1-bin (<=1),none,OK,0.9848,False,0.8125961113586398,0.7090316498868632,29.99040307101764,11.000017,18.966671,330,570,0.0,False,Dataset/3_ROI/PURE_RAW/01-01.npz,/media/data/rPPG/Code/GitHub/Project_rPPG/Dataset/3_ROI/PURE_RAW/01-01.npz,correct
Step4_SE_StratA_asymCE-AUX,old,Old@1BPM,train,PURE,01,01-01,12,64.97920665387156,64.97920665387156,64.97920665387156,0.0,0.0,0.0,0.0,1-bin (<=1),none,OK,1.0,False,0.808523545978704,0.671193416264084,29.99040307101764,12.000013,19.966697,360,600,0.0,False,Dataset/3_ROI/PURE_RAW/01-01.npz,/media/data/rPPG/Code/GitHub/Project_rPPG/Dataset/3_ROI/PURE_RAW/01-01.npz,correct
Step4_SE_StratA_asymCE-AUX,old,Old@1BPM,train,PURE,01,01-01,13,64.97920665387156,64.97920665387156,63.9795265515043,0.0,0.9996801023672576,0.0,0.9996801023672576,1-bin (<=1),none,OK,1.0,True,0.8288624795562143,0.7045699624056502,29.99040307101764,13.000009,20.966693000000003,390,630,-0.9996801023672576,True,Dataset/3_ROI/PURE_RAW/01-01.npz,/media/data/rPPG/Code/GitHub/Project_rPPG/Dataset/3_ROI/PURE_RAW/01-01.npz,correct
Step4_SE_StratA_asymCE-AUX,old,Old@1BPM,train,PURE,01,01-01,14,64.97920665387156,64.97920665387156,63.9795265515043,0.0,0.9996801023672576,0.0,0.9996801023672576,1-bin (<=1),none,OK,1.0,True,0.7936939274347806,0.6932426870411132,29.99040307101764,14.000005000000002,21.966689,420,660,-0.9996801023672576,True,Dataset/3_ROI/PURE_RAW/01-01.npz,/media/data/rPPG/Code/GitHub/Project_rPPG/Dataset/3_ROI/PURE_RAW/01-01.npz,correct
