model,protocol,protocol_label,split,dataset,subject_id,seq,window_idx,gt_bpm,model_bpm,chrom_bpm,model_err,chrom_err,abs_model_err,abs_chrom_err,error_bin,harmonic_type,error_direction,pred_gt_ratio,is_model_better,model_pearson,chrom_pearson,fs,start_time,end_time,start_idx,end_idx,model_minus_chrom,model_better,path,resolved_path,eval_failure_type
Delta_0_BPM,old,Old@1BPM,train,PURE,01,01-01,0,69.97760716570784,69.97760716570784,68.97792706334057,0.0,0.9996801023672646,0.0,0.9996801023672646,1-bin (<=1),none,OK,1.0,True,0.79374404449088,0.7069648039896603,29.99040307101764,0.0,7.966685000000001,0,240,-0.9996801023672646,True,Dataset/3_ROI/PURE_RAW/01-01.npz,/media/data/rPPG/Code/GitHub/Project_rPPG/Dataset/3_ROI/PURE_RAW/01-01.npz,correct
Delta_0_BPM,old,Old@1BPM,train,PURE,01,01-01,1,66.97856685860606,66.97856685860606,66.97856685860606,0.0,0.0,0.0,0.0,1-bin (<=1),none,OK,1.0,False,0.7755658537045504,0.6887736270763054,29.99040307101764,1.000027,8.966681000000001,30,270,0.0,False,Dataset/3_ROI/PURE_RAW/01-01.npz,/media/data/rPPG/Code/GitHub/Project_rPPG/Dataset/3_ROI/PURE_RAW/01-01.npz,correct
Delta_0_BPM,old,Old@1BPM,train,PURE,01,01-01,2,64.97920665387156,64.97920665387156,63.9795265515043,0.0,0.9996801023672576,0.0,0.9996801023672576,1-bin (<=1),none,OK,1.0,True,0.7602742598426978,0.6925870275718816,29.99040307101764,2.000023,9.966676,60,300,-0.9996801023672576,True,Dataset/3_ROI/PURE_RAW/01-01.npz,/media/data/rPPG/Code/GitHub/Project_rPPG/Dataset/3_ROI/PURE_RAW/01-01.npz,correct
Delta_0_BPM,old,Old@1BPM,train,PURE,01,01-01,3,63.9795265515043,62.97984644913705,62.97984644913705,0.9996801023672504,0.9996801023672504,0.9996801023672504,0.9996801023672504,1-bin (<=1),none,OK,0.9844,False,0.7645776621021287,0.6698690828654867,29.99040307101764,3.000019,10.966672,90,330,0.0,False,Dataset/3_ROI/PURE_RAW/01-01.npz,/media/data/rPPG/Code/GitHub/Project_rPPG/Dataset/3_ROI/PURE_RAW/01-01.npz,correct
Delta_0_BPM,old,Old@1BPM,train,PURE,01,01-01,4,63.9795265515043,62.97984644913705,62.97984644913705,0.9996801023672504,0.9996801023672504,0.9996801023672504,0.9996801023672504,1-bin (<=1),none,OK,0.9844,False,0.8065974130112983,0.6683215301301912,29.99040307101764,4.000015,11.966668,120,360,0.0,False,Dataset/3_ROI/PURE_RAW/01-01.npz,/media/data/rPPG/Code/GitHub/Project_rPPG/Dataset/3_ROI/PURE_RAW/01-01.npz,correct
Delta_0_BPM,old,Old@1BPM,train,PURE,01,01-01,5,63.9795265515043,63.9795265515043,63.9795265515043,0.0,0.0,0.0,0.0,1-bin (<=1),none,OK,1.0,False,0.8354325279846242,0.7429720428073753,29.99040307101764,5.000011000000001,12.966695,150,390,0.0,False,Dataset/3_ROI/PURE_RAW/01-01.npz,/media/data/rPPG/Code/GitHub/Project_rPPG/Dataset/3_ROI/PURE_RAW/01-01.npz,correct
Delta_0_BPM,old,Old@1BPM,train,PURE,01,01-01,6,64.97920665387156,63.9795265515043,64.97920665387156,0.9996801023672576,0.0,0.9996801023672576,0.0,1-bin (<=1),none,OK,0.9846,False,0.8113559992522312,0.7211261952360173,29.99040307101764,6.000007,13.966691,180,420,0.9996801023672576,False,Dataset/3_ROI/PURE_RAW/01-01.npz,/media/data/rPPG/Code/GitHub/Project_rPPG/Dataset/3_ROI/PURE_RAW/01-01.npz,correct
Delta_0_BPM,old,Old@1BPM,train,PURE,01,01-01,7,64.97920665387156,64.97920665387156,64.97920665387156,0.0,0.0,0.0,0.0,1-bin (<=1),none,OK,1.0,False,0.8041302282306046,0.7002151380357178,29.99040307101764,7.000003,14.966687,210,450,0.0,False,Dataset/3_ROI/PURE_RAW/01-01.npz,/media/data/rPPG/Code/GitHub/Project_rPPG/Dataset/3_ROI/PURE_RAW/01-01.npz,correct
Delta_0_BPM,old,Old@1BPM,train,PURE,01,01-01,8,65.97888675623881,65.97888675623881,65.97888675623881,0.0,0.0,0.0,0.0,1-bin (<=1),none,OK,1.0,False,0.8035708994337742,0.7055028910303652,29.99040307101764,8.000029,15.966683000000002,240,480,0.0,False,Dataset/3_ROI/PURE_RAW/01-01.npz,/media/data/rPPG/Code/GitHub/Project_rPPG/Dataset/3_ROI/PURE_RAW/01-01.npz,correct
Delta_0_BPM,old,Old@1BPM,train,PURE,01,01-01,9,66.97856685860606,66.97856685860606,66.97856685860606,0.0,0.0,0.0,0.0,1-bin (<=1),none,OK,1.0,False,0.8215240798009131,0.7024131860837988,29.99040307101764,9.000025,16.966679000000003,270,510,0.0,False,Dataset/3_ROI/PURE_RAW/01-01.npz,/media/data/rPPG/Code/GitHub/Project_rPPG/Dataset/3_ROI/PURE_RAW/01-01.npz,correct
